Bank Name,Customer Score,Customer service in general,Application process,Complaints and Resolutions,Service in branch,Telephone banking service,Online banking service,Mobile banking app,Calling customer services
Starling Bank,83%,5 Star,-,5 Star,-,3 Star,5 Star,5 Star,4 Star
First Direct,82%,5 Star,-,5 Star,-,4 Star,4 Star,4 Star,4 Star
Monzo Bank,82%,4 Star,5 Star,4 Star,-,-,-,5 Star,4 Star
Chase,79%,5 Star,5 Star,5 Star,-,-,-,5 Star,4 Star
Nationwide BS,78%,4 Star,4 Star,4 Star,4 Star,3 Star,4 Star,4 Star,4 Star
Danske Bank,76%,4 Star,-,5 Star,4 Star,3 Star,4 Star,3 Star,4 Star
Revolut,76%,3 Star,5 Star,3 Star,-,-,4 Star,4 Star,-
Barclays Bank,74%,3 Star,-,3 Star,3 Star,3 Star,3 Star,4 Star,3 Star
Halifax,74%,4 Star,-,4 Star,4 Star,3 Star,4 Star,4 Star,3 Star
Ulster Bank,74%,4 Star,-,3 Star,4 Star,3 Star,4 Star,4 Star,3 Star
The Co-operative Bank,73%,4 Star,-,4 Star,4 Star,3 Star,3 Star,3 Star,3 Star
Bank of Scotland,72%,4 Star,-,4 Star,4 Star,3 Star,4 Star,3 Star,4 Star
Lloyds Bank,72%,4 Star,4 Star,4 Star,3 Star,3 Star,4 Star,3 Star,3 Star
Metro Bank,72%,4 Star,-,4 Star,4 Star,-,3 Star,-,4 Star
NatWest,72%,3 Star,4 Star,3 Star,3 Star,3 Star,3 Star,4 Star,3 Star
Royal Bank of Scotland,72%,4 Star,-,3 Star,2 Star,3 Star,4 Star,4 Star,2 Star
Santander,70%,4 Star,-,3 Star,3 Star,3 Star,3 Star,3 Star,3 Star
HSBC,69%,3 Star,4 Star,3 Star,2 Star,2 Star,3 Star,3 Star,2 Star
TSB,69%,3 Star,-,3 Star,2 Star,2 Star,3 Star,3 Star,3 Star
Virgin Money (Clydesdale Bank/Yorkshire Bank),68%,3 Star,-,3 Star,3 Star,3 Star,3 Star,3 Star,2 Star
Bank of Ireland UK,63%,3 Star,-,3 Star,3 Star,3 Star,3 Star,3 Star,3 Star